exp_ic	logreg_prob	gnb_prob	SVC_prob	rnd_clf_prob	voting_clf_prob
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0000	0.9990706385972198	0.999998976434476	0.9882779755461147	1.0	0.9951516369321682
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0001	0.9990472317742037	0.9999973011803792	0.9854243662564135	1.0	0.9941813259856422
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0002	0.9986079982145845	0.9999988890138355	0.9952087976961649	1.0	0.9974761886658015
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0003	0.9992098411968868	0.9999977491479745	0.9847195726478296	1.0	0.9940013791932353
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0004	0.9993770239706609	0.9999974142782103	0.9832685286453505	1.0	0.9935789414721947
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0005	0.999185708456446	0.9999990308516622	0.9922045100525372	1.0	0.9965625427987767
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0006	0.9995348844855854	0.9999986205315275	0.9873909757122096	1.0	0.9950045291711019
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0007	0.9989138501693741	0.9999935103047917	0.9802556631617916	1.0	0.992446655162385
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0008	0.998732244472902	0.9999973155988389	0.9845879407803998	1.0	0.993798590882553
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0009	0.9982788395907938	0.9999974507168018	0.9904874729872427	1.0	0.9956519182239078
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0010	0.9994405816551742	0.9999978953659948	0.9794271870710406	1.0	0.9923564905661211
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0011	0.9992420728414494	0.9999989496253924	0.9894217833507606	1.0	0.9956020545302732
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0012	0.9988867601429313	0.9999969627177373	0.9831772273039027	1.0	0.993385600150244
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0013	0.9984262632170509	0.9999981207919629	0.9891638742755533	1.0	0.9952410226457186
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0014	0.9983869612308478	0.9999821439180154	0.9794501626462299	1.0	0.9920126363802879
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0015	0.9978677262884037	0.9999710905530481	0.9831963986382141	1.0	0.99305220319077
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0016	0.9986798400636268	0.9999961173209565	0.9837150285758783	1.0	0.9934931453233516
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0017	0.9993748737820436	0.9999954974921939	0.9794724152101566	1.0	0.9923490627206862
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0018	0.999126533155402	0.999998246874773	0.9863727686248219	1.0	0.9945249596416961
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0019	0.9991473375415254	0.9999933222564733	0.979449554403033	1.0	0.9922659004887696
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0020	0.9991282200803164	0.9999988181186094	0.9889540450766965	1.0	0.9954027063684991
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0021	0.9983602732773561	0.9999986274095326	0.9941972144223568	1.0	0.9970139167642457
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0022	0.9988221183362939	0.9999979816614667	0.9840359192043031	1.0	0.993646219151818
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0023	0.9989400682421162	0.9999988446489119	0.9944657457797017	1.0	0.9973071561486897
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0024	0.9977204105080119	0.9999937146086247	0.9795766754981028	1.0	0.9918309564985742
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0025	0.9992014129385499	0.9999950610752607	0.9794137079318388	1.0	0.9922724545236217
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0026	0.9950773701475427	0.9985319452889626	0.9794579537240339	1.0	0.9909119328631185
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0027	0.9994316904552614	0.9999964008139456	0.972066824826445	1.0	0.9900415407179585
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0028	0.9991415957117521	0.9999950029456539	0.9730359504382067	1.0	0.9902447956628806
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0029	0.9993159401092007	0.9999966610005483	0.981692515018062	1.0	0.9930446960244798
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0030	0.9978098713344793	0.9999957518508906	0.99290932366451	1.0	0.9963580687282985
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0031	0.9988750344772744	0.999996869768065	0.9794251304134788	1.0	0.9921673167171073
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0032	0.9994501546516418	0.9999988637383453	0.9878509230309108	1.0	0.9951324880888931
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0033	0.999087698451309	0.9999985001567605	0.9887629039548556	1.0	0.9953234772813113
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0034	0.9990620460975059	0.9999958474429529	0.9813428361630872	1.0	0.9928467616462364
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0035	0.9989892227313139	0.9999980066479893	0.98560284350063	1.0	0.9942214927835328
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0036	0.9942683730098951	0.999739986016226	0.9794364496633696	1.0	0.9906353851089119
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0037	0.9988854365658644	0.9999984010164992	0.988627213200004	1.0	0.9952094806906348
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0038	0.99880545936619	0.999999043372376	0.9965515614268696	1.0	0.998061310340316
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0039	0.9992481873567647	0.9999988696922497	0.9920620033119908	1.0	0.9965323208239516
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0040	0.9985947743637162	0.9999990625218719	0.9877216267454623	1.0	0.9948033820060186
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0041	0.9979038646195186	0.9999972662580962	0.9923479816245319	1.0	0.9961867664997216
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0042	0.9992966177360793	0.9999972746511036	0.9819366963626318	1.0	0.993117524627523
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0043	0.9990438304729469	0.9999976731732794	0.9870228261726829	1.0	0.9947163005678109
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0044	0.9992021905958096	0.9999933410421299	0.9730999288464294	1.0	0.9902848389532245
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0045	0.9988532410889684	0.9999972804000057	0.9898587950473868	1.0	0.9956239989271315
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0046	0.999068993684771	0.9999984814286995	0.9866116744762349	1.0	0.9945860862411484
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0047	0.998441214652663	0.9999989129188064	0.9919164294263465	1.0	0.9962112941945666
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0048	0.9989907459840275	0.9999991981552032	0.9934466794148857	1.0	0.9969474446511061
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0049	0.9988719136052149	0.9999975244106026	0.9817769412045261	1.0	0.9929240806921708
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0050	0.9993777692613333	0.9999990731497231	0.9914072124414549	1.0	0.9963423110802019
sub-055_ses-01_age-P39_rec-baseline_run-01_comp-001_ica-filt-0051	0.9890498529302142	0.9801862043029885	0.9794449400876305	1.0	0.9888985955444282
