exp_ic	logreg_prob	gnb_prob	SVC_prob	rnd_clf_prob	voting_clf_prob
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0000	0.9999523524393105	0.9999999969171115	0.9999993586873033	1.0	0.9999840980101959
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0001	0.999974948287209	0.9999999927076343	0.9999964248249006	1.0	0.9999915040369896
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0002	0.9999946276602184	0.9999999997654196	0.9999998942301976	1.0	0.9999982068576229
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0003	0.9999454454348733	0.9999999942182766	0.9999999870199677	1.0	0.999981814942161
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0004	0.9995504842652573	0.9999999906862859	0.9999964940410014	1.0	0.9998500193175909
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0005	0.9999871376606766	0.9999999979226822	0.9999995211526436	1.0	0.9999956987215605
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0006	0.9999989951879307	0.9999999995375753	0.8066266788996331	1.0	0.942165213300826
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0007	0.9999882171679588	0.9999999996936246	0.9999998725195427	1.0	0.9999960694499431
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0008	0.9999856440597414	0.9999999995485052	0.9999842298315974	1.0	0.9999943895025849
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0009	0.999972780587772	0.999999998637378	0.9999973905035036	1.0	0.9999908262738488
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0010	0.9999604573815983	0.9999999994306741	0.9999999921056864	1.0	0.9999868190138805
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0011	0.9996537157436574	0.9999999716148129	0.999996456567522	1.0	0.9998844280316724
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0012	0.9999936531253324	0.9999999995432544	0.9999996454584632	1.0	0.9999978746447118
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0013	0.9999906627546968	0.9999999468838073	0.9969029107908808	1.0	0.999995202086133
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0014	0.9999991567736639	0.9999999999891216	0.9920833433797074	1.0	0.9987001603948708
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0015	0.9999936587106971	0.9999999993031796	0.9999995446464177	1.0	0.9999978731957205
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0016	0.9999812466676511	0.9999999991715534	0.9999964494515867	1.0	0.9999936046682095
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0017	0.9999900248576461	0.9999999995266489	0.9999993407167057	1.0	0.9999966548430249
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0018	0.9998646811595588	0.9999999522148263	0.9999995023778219	1.0	0.9999548792510974
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0019	0.9999794932223339	0.9999999889920305	0.9999964759698445	1.0	0.9999930214459175
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0020	0.999878331195454	0.9999999979780726	0.9999999327463319	1.0	0.9999594423411615
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0021	0.2372567142140573	4.562195867987457e-13	1.0000000994736041e-07	0.05	0.09575227140468907
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0022	0.999966925932918	0.999999997966894	0.9999999892174296	1.0	0.9999889751477493
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0023	0.9999749093598146	0.9999999831695983	0.9999964730320705	1.0	0.9999914933522943
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0024	0.9999909581141037	0.9999999993299475	0.9999999385700611	1.0	0.9999969847872482
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0025	0.9997223339621041	0.9999999839865714	0.9999998837291679	1.0	0.9999074420148251
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0026	0.9999869635388666	0.999999988278436	0.9999999604053136	1.0	0.9999956537648803
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0027	0.9999251852034599	0.9999999985022381	0.9999995130578185	1.0	0.9999750476284598
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0028	0.9999728413737953	0.9999984933856377	0.9999964712479261	1.0	0.9999908039389219
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0029	0.999998515469412	0.9999999999445528	0.9810608975700787	1.0	0.9963698477971112
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0030	0.9999508951537405	0.999999996297314	0.9999996210651458	1.0	0.9999836211995433
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0031	0.9999704848829274	0.999999999119174	0.999999971954102	1.0	0.9999901611279968
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0032	0.9999966806349222	0.9999999975598063	0.9999995001396312	1.0	0.9999988790000329
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0033	0.9999858988531694	0.9999999995846327	0.9999999892437277	1.0	0.9999952994549656
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0034	0.9990812072524852	0.9999993955327466	0.9999983680700371	1.0	0.9996936776718233
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0035	0.9994613061429625	0.9999997152286235	0.9999997663355921	1.0	0.9998204294075855
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0036	0.999996296121713	0.9999999996377991	0.999999976383141	1.0	0.9999987649653056
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0037	0.9999843592267628	0.9999999979207708	0.9999999839076642	1.0	0.9999947861481204
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0038	0.9998106053037141	0.9999990603821419	0.9774459522057517	1.0	0.9954755025849455
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0039	0.9999964152373415	0.9999999998555699	0.9999999781747567	1.0	0.9999988047065537
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0040	0.9999047972106567	0.9999999946153314	0.9999999909484336	1.0	0.9999682656038908
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0041	0.9999894831928313	0.9999999918637635	0.9999999869778001	1.0	0.9999964941940425
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0042	0.9999394126345518	0.9999999982814671	0.9999999934012821	1.0	0.9999798041196456
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0043	0.999989811927795	0.9999999569070105	0.9999964741562186	1.0	0.9999964609283177
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0044	0.9999769061831014	0.9999999990428582	0.9999999596816967	1.0	0.9999923012969331
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0045	0.997674041905693	0.9999995207774001	0.9999981433933774	1.0	0.9992246130942436
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0046	0.9999968559415536	0.9999999976989145	0.9999964730921698	1.0	0.9999988088823937
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0047	0.9999911075749023	0.9999999994500898	0.9999999215625928	1.0	0.9999970341933264
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0048	0.9999960409705279	0.9999999993103473	0.999996436425783	1.0	0.999998535483257
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0049	0.9999895415957478	0.9999999996062492	0.9999999894855878	1.0	0.9999965137067667
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0050	0.9999712432799597	0.9999999991270646	0.9999994966523621	1.0	0.9999903997628937
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0051	0.9998579284969012	0.9999999815872995	0.9999964515630815	1.0	0.9999524987116365
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0052	0.9998930208261252	0.9999999717162162	0.9999999949225814	1.0	0.9999643402077713
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0053	0.9998745442766392	0.999999999226505	0.9999964882466922	1.0	0.999958039046562
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0054	0.9996746663644868	0.9999997932647685	0.9999964666494593	1.0	0.9998914120508143
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0055	0.999880192032775	0.999999975141398	0.9999999423664379	1.0	0.999960062850121
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0056	0.9999866299772673	0.9999999994871143	0.9999999732603202	1.0	0.9999955428532359
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0057	0.9999868687592125	0.999999999521192	0.9999999869113458	1.0	0.999995622714953
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0058	0.9999040960600866	0.9999999862181249	0.999999977614062	1.0	0.9999680316362425
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0059	0.9996804274278659	0.9999999837568441	0.9999965607834979	1.0	0.9998933368651212
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0060	0.9979334756761237	0.9999996703886318	0.9999999282849437	1.0	0.9993111570594856
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0061	0.9999954917624939	0.9999999987957225	0.9999998917041549	1.0	0.9999984948255499
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0062	0.9999952327980416	0.9999999990512158	0.9999999658481017	1.0	0.9999984103034901
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0063	0.9999951513884757	0.9999999995683808	0.9999994211523571	1.0	0.9999983665268636
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0064	0.9999967903005911	0.9999999999692832	0.9999979244717794	1.0	0.9999988531498353
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0065	0.9999871719499565	0.9999999994624744	0.9999999895467812	1.0	0.9999957238259153
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0066	0.9998016916059178	0.9999999924501674	0.9999999529461666	1.0	0.999933896286441
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0067	0.9999885818630553	0.9999999981883524	0.9999999689565013	1.0	0.9999961933916516
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0068	0.9999916659204947	0.9999999996232117	0.9999999952937179	1.0	0.9999972219116412
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0069	0.9959056637293485	0.9999838717907499	0.9817078651209579	0.925	0.9784847793033098
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0070	0.9999921367767179	0.9999999985458282	0.9999999476762036	1.0	0.9999973778889234
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0071	0.9999834774555758	0.9999999966330454	0.9999999834089193	1.0	0.9999944922149065
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0072	0.9999115301105763	0.9999999964421386	0.9999999687734306	1.0	0.999970509470273
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0073	0.9706730139522786	0.8498361065031451	0.9999964527506682	1.0	0.9818908605865286
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0074	0.9999988954992671	0.9999999997785382	0.9999981101270714	1.0	0.9999995628739032
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0075	0.9999921153927324	0.9999999962288905	0.9999999618501181	1.0	0.9999973710813496
