exp_ic	logreg_prob	gnb_prob	SVC_prob	rnd_clf_prob	voting_clf_prob
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0000	0.9987958307411556	0.9999996893626782	0.9999993106792064	1.0	0.999598117396344
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0001	0.9984454869140509	0.9999996052229052	0.9999998642688861	1.0	0.9994817234109861
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0002	0.9999617881260294	0.9999999635414756	0.9999996113392734	1.0	0.9999869764620611
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0003	0.99960224532144	0.9999998877325204	0.9999999852860708	1.0	0.999867402268079
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0004	0.9997048052849249	0.999999815930024	0.9970213260771268	1.0	0.9985805072237244
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0005	0.9995703233953408	0.9999999418400698	0.9999999925935767	1.0	0.9998567677684184
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0006	0.9999666890529526	0.9999983064905132	0.999994197558449	1.0	0.9999851801337614
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0007	0.9999105876604124	0.9999999747902212	0.9999997188225968	1.0	0.9999699853022261
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0008	0.999918065899256	0.9999999508002068	0.9999962358103242	1.0	0.9999702233806267
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0009	0.9995479959923856	0.9999999309120351	0.999999928369065	1.0	0.9998492744141022
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0010	0.9998751121782541	0.9999999798181547	0.9999999792433539	1.0	0.9999583529342813
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0011	0.9959000221598363	0.9999864817577767	0.9946900272434772	1.0	0.9963493868430245
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0012	0.9999748177586855	0.9999999912787098	0.9999999499164097	1.0	0.9999915649047098
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0013	0.9983389930338088	0.9999961002560193	0.9999980542773835	1.0	0.9994450125298661
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0014	0.9999759368867384	0.9999999537615285	0.9999983757040874	1.0	0.999990867970525
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0015	0.999953791009579	0.9999998857665536	0.9999993658124327	1.0	0.999984141612046
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0016	0.999827603660024	0.9999998267354107	0.9999998122572773	1.0	0.9999423909746094
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0017	0.9999304683062424	0.9999998128318148	0.999998700443226	1.0	0.999975923585128
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0018	0.9975951798961967	0.9999991767953254	0.9999999942870518	1.0	0.9991983880632732
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0019	0.998613182321588	0.9999996671766013	0.9999997469160063	1.0	0.9995375368605789
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0020	0.9997031651842608	0.9999999187801742	0.9999997969553889	1.0	0.999900900408983
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0021	0.09935279349284189	2.271891147085317e-16	1.0000000994736041e-07	0.225	0.0997843040337335
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0022	0.9996203793828453	0.9999999378866049	0.9999999941786356	1.0	0.9998734544646625
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0023	0.9994649855552368	0.9999990573769522	0.9999952583359596	1.0	0.9998185932155139
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0024	0.9997676588115788	0.9999999540412958	0.999999964911549	1.0	0.9999225236677297
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0025	0.9973104447561079	0.9999986840295767	0.9999999585385154	1.0	0.9991034472974802
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0026	0.999628694236734	0.9999999087549998	0.9999999992898247	1.0	0.9998762306871637
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0027	0.999618126579943	0.999999901057263	0.9999995361160511	1.0	0.9998723703255902
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0028	0.9984319291227679	0.9999124880891929	0.9999941513659482	1.0	0.9994735654380577
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0029	0.9999515844386534	0.9999992521265629	0.9999941349917829	1.0	0.9999801072688727
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0030	0.9991566469706088	0.9999998348131361	0.9999999597234619	1.0	0.9997188489655094
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0031	0.9998156360720446	0.9999999605385196	0.9999999498872006	1.0	0.9999385043198155
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0032	0.9996008639425298	0.9999995052663343	0.9999997044951499	1.0	0.9998667339011517
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0033	0.9998941515782327	0.9999999823376042	0.9999999849723832	1.0	0.9999647040942836
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0034	0.9929951925437963	0.9999932437635559	0.9999999216663873	1.0	0.997665001500752
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0035	0.9966281310839846	0.9999981762984408	0.999999996996285	1.0	0.9988760408487476
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0036	0.9999542585825809	0.9999999823051111	0.999999976108585	1.0	0.99998473253074
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0037	0.9996003347500582	0.9999999301619489	0.9999999914109774	1.0	0.9998667705434325
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0038	0.9919539765113383	0.9999416105700959	0.9999942337349311	1.0	0.9973142979309166
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0039	0.9999936174487807	0.9999999942682988	0.999999985495727	1.0	0.9999978598173866
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0040	0.9996026684198414	0.9999996412139276	0.9999999938924252	1.0	0.999867550562184
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0041	0.9996789395636299	0.9999999017230468	0.9999999930525103	1.0	0.9998929735519474
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0042	0.9995127814986041	0.9999998199268493	0.9999999869751632	1.0	0.9998375823956357
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0043	0.9988421773186623	0.9999983092968805	0.9999941157074416	1.0	0.9996102931893903
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0044	0.9997263866115526	0.9999999628555675	0.9999999908297497	1.0	0.9999087873369549
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0045	0.9935257038213586	0.9999960715869756	0.9999992815183296	1.0	0.9978413886734572
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0046	0.9996546966079768	0.9999996696130427	0.9999979295657112	1.0	0.9998835003761181
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0047	0.999950488987488	0.999999982173817	0.9999999317511613	1.0	0.9999834413270235
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0048	0.9999165983343087	0.999999601506651	0.9999961363424212	1.0	0.999969672453498
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0049	0.9999235374991176	0.9999999642978554	0.9999999814793272	1.0	0.9999744965304692
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0050	0.999949337015995	0.9999999733692406	0.9999998090424297	1.0	0.9999829664296502
B2056b_baseline1_dfof-10perc_pyseas_1000iter_training_ica-filt-0051	0.9971176772735522	0.9999986885496013	0.9999977395228145	1.0	0.9990377058107524
